모델명,제조사,유종,배기량,변속형식,A,등급,B,자동차유형
CIVIC TURBO,혼다,휘발유,1498,무단변속,13.8,2등급,121,일반형
쏘렌토 1.6T-GDI 하이브리드 4WD 5인 17인치타이어,기아,휘발유,1598,자동6,13.7,3등급,120,다목적형
쏘렌토 1.6T-GDI 하이브리드 4WD 6인 17인치타이어,기아,휘발유,1598,자동6,13.7,3등급,120,다목적형
쏘렌토 1.6T-GDI 하이브리드 4WD 7인 17인치타이어,기아,휘발유,1598,자동6,13.7,3등급,120,다목적형
"XM3 1.3 (17"" tire)",르노삼성,휘발유,1332,자동7,13.7,3등급,120,기타형
쏘나타(DN8) 1.6 T-GDI_17인치타이어,현대,휘발유,1598,자동8,13.7,3등급,122,일반형
베뉴 1.6 가솔린 CVT (15“타이어),현대,휘발유,1598,무단변속,13.7,3등급,121,기타형
"스토닉 1.0 T-GDI 7DCT (15""타이어)",기아,휘발유,998,자동7,13.7,3등급,121,기타형
코나(OS PE) 2.0 가솔린 2WD_16인치타이어,현대,휘발유,1999,무단변속,13.6,3등급,122,다목적형
K5(DL3) 1.6T-GDI_17인치타이어_21MY,기아,휘발유,1598,자동8,13.6,3등급,122,일반형
"SM6 1.3 (16"" Tire)",르노삼성,휘발유,1332,자동7,13.6,3등급,121,일반형
쏘나타(DN8) 1.6 T-GDI_17인치타이어(빌트인캠)_21MY,현대,휘발유,1598,자동8,13.6,3등급,122,일반형
K5(DL3) 1.6T-GDI_17인치(빌트인캠),기아,휘발유,1598,자동8,13.6,3등급,123,일반형
베뉴 1.6 가솔린 MT (15“타이어),현대,휘발유,1598,수동6,13.6,3등급,122,기타형
CIVIC 4D,혼다,휘발유,1996,무단변속,13.6,3등급,122,일반형
K5(DL3) 1.6T-GDI_17인치(빌트인캠)_21MY,기아,휘발유,1598,자동8,13.5,3등급,123,일반형
"CAPTUR 1.3 (17"" tire)",르노삼성,휘발유,1332,자동7,13.5,3등급,120,기타형
"스토닉 1.0 T-GDI 7DCT (17""타이어)",기아,휘발유,998,자동7,13.5,3등급,123,기타형
Jetta 1.4 TSI,폭스바겐,휘발유,1395,자동8,13.4,3등급,126,일반형
"XM3 1.6 (16"" tire)",르노삼성,휘발유,1598,무단변속,13.4,3등급,123,기타형
엑센트 카파 1.4가솔린 CVT (4DR) (15),현대,휘발유,1368,무단변속,13.4,3등급,122,일반형
"SM6 1.3 (18"" Tire)",르노삼성,휘발유,1332,자동7,13.3,3등급,123,일반형
베뉴 1.6 가솔린 CVT (17“타이어),현대,휘발유,1598,무단변속,13.3,3등급,125,기타형
베뉴 1.6 가솔린 MT (17“타이어),현대,휘발유,1598,수동6,13.3,3등급,125,기타형
쏘나타(DN8) 2.0CVVL_17인치타이어,현대,휘발유,1999,자동6,13.3,3등급,126,일반형
말리부 1.35 TURBO,한국지엠,휘발유,1341,무단변속,13.3,3등급,126,일반형
코나(OS PE) 2.0 가솔린 2WD_17인치타이어,현대,휘발유,1999,무단변속,13.2,3등급,128,다목적형
쏘나타(DN8) 1.6 T-GDI_18인치타이어_21MY,현대,휘발유,1598,자동8,13.2,3등급,126,일반형
쏘렌토 1.6T-GDI 하이브리드 4WD 5인 19인치타이어,기아,휘발유,1598,자동6,13.2,3등급,124,다목적형
쏘렌토 1.6T-GDI 하이브리드 4WD 6인 19인치타이어,기아,휘발유,1598,자동6,13.2,3등급,124,다목적형
쏘렌토 1.6T-GDI 하이브리드 4WD 7인 19인치타이어,기아,휘발유,1598,자동6,13.2,3등급,124,다목적형
"XM3 1.3 (18"" tire)",르노삼성,휘발유,1332,자동7,13.2,3등급,125,기타형
트레일블레이저 1.35 TURBO FWD,한국지엠,휘발유,1341,무단변속,13.2,3등급,127,다목적형
K5(DL3) 1.6T-GDI_18인치타이어,기아,휘발유,1598,자동8,13.2,3등급,127,일반형
쏘나타(DN8) 1.6 T-GDI_18인치타이어,현대,휘발유,1598,자동8,13.2,3등급,127,일반형
쏘나타(DN8) 2.0CVVL_16인치타이어,현대,휘발유,1999,자동6,13.1,3등급,128,일반형
벨로스터 1.4T-GDI 7DCT,현대,휘발유,1353,자동7,13.1,3등급,127,일반형
엑센트 카파 1.4가솔린 CVT (5DR) (15),현대,휘발유,1368,무단변속,13.1,3등급,125,일반형
트레일블레이저 1.2 TURBO FWD,한국지엠,휘발유,1199,무단변속,13,3등급,130,다목적형
"CAPTUR 1.3 (18"" tire)",르노삼성,휘발유,1332,자동7,13,3등급,125,기타형
K5(DL3) 2.0CVVL_17인치타이어,기아,휘발유,1999,자동6,13,3등급,129,일반형
